Station Name,Measurement Timestamp,Air Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation
63rd Street Weather Station,09/27/2018 09:00:00 PM,18.1,45,0.0,0.0,260.3,240,2.4,3.4,992.2,1
63rd Street Weather Station,09/28/2018 11:00:00 AM,17.0,64,0.0,0.0,260.3,345,3.6,4.4,996.8,200
Foster Weather Station,09/28/2018 11:00:00 AM,15.17,60,,0.0,,325,3.4,4.0,996.3,0
Foster Weather Station,09/12/2015 03:00:00 PM,15.28,58,,0.0,,350,4.5,5.1,993.9,602
Foster Weather Station,09/12/2015 04:00:00 PM,15.67,54,,0.0,,9,7.0,8.5,993.9,469
Foster Weather Station,09/12/2015 05:00:00 PM,15.89,62,,0.0,,359,2.8,3.3,993.6,307
Foster Weather Station,09/12/2015 06:00:00 PM,15.67,64,,0.0,,1,3.3,3.8,993.6,138
Foster Weather Station,09/12/2015 07:00:00 PM,15.39,62,,0.0,,349,2.5,3.1,993.6,6
Foster Weather Station,09/12/2015 08:00:00 PM,15.28,62,,0.0,,5,2.1,2.5,993.6,0
Foster Weather Station,09/12/2015 09:00:00 PM,15.17,63,,0.0,,346,2.0,2.8,993.9,0
Foster Weather Station,09/12/2015 10:00:00 PM,14.67,59,,0.0,,312,2.8,3.0,993.9,1
Foster Weather Station,09/12/2015 11:00:00 PM,13.67,64,,0.0,,301,1.7,2.0,993.9,0
Foster Weather Station,09/12/2015 12:00:00 AM,14.0,68,,0.0,,314,5.0,6.1,993.9,1
Foster Weather Station,09/13/2015 02:00:00 AM,11.78,71,,0.0,,266,1.7,2.0,993.6,0
Foster Weather Station,09/13/2015 03:00:00 AM,11.39,72,,0.0,,266,3.0,3.2,993.6,0
Foster Weather Station,09/13/2015 04:00:00 AM,11.28,72,,0.0,,262,1.3,2.1,993.6,0
Foster Weather Station,09/13/2015 05:00:00 AM,11.28,72,,0.0,,247,1.3,1.5,993.9,0
Foster Weather Station,09/13/2015 06:00:00 AM,11.5,70,,0.0,,206,2.5,3.4,993.9,0
Foster Weather Station,09/13/2015 07:00:00 AM,12.06,67,,0.0,,272,3.8,4.2,994.2,25
Foster Weather Station,09/13/2015 08:00:00 AM,13.0,64,,0.0,,268,1.7,2.0,994.6,253
Foster Weather Station,09/13/2015 09:00:00 AM,15.17,55,,0.0,,273,2.3,2.5,994.6,378
Foster Weather Station,09/13/2015 10:00:00 AM,17.0,48,,0.0,,291,4.2,4.4,994.6,527
Foster Weather Station,09/13/2015 11:00:00 AM,18.06,43,,0.0,,273,4.2,5.3,994.6,335
Foster Weather Station,09/13/2015 12:00:00 PM,19.0,38,,0.0,,279,2.9,3.4,994.6,808
Foster Weather Station,09/13/2015 01:00:00 PM,19.06,36,,0.0,,321,3.1,3.5,993.9,171
Foster Weather Station,09/13/2015 02:00:00 PM,20.0,34,,0.0,,318,1.5,2.0,993.6,816
Foster Weather Station,09/13/2015 03:00:00 PM,19.39,52,,0.0,,146,0.4,0.7,993.2,691
Foster Weather Station,09/13/2015 04:00:00 PM,17.89,57,,0.0,,135,1.6,2.2,992.9,118
Foster Weather Station,09/13/2015 05:00:00 PM,18.28,52,,0.0,,132,3.2,3.7,992.6,296
Foster Weather Station,09/13/2015 06:00:00 PM,18.28,57,,0.0,,131,2.3,2.5,992.2,131
Foster Weather Station,09/13/2015 07:00:00 PM,18.28,54,,0.0,,152,1.8,2.0,992.2,5
Foster Weather Station,09/13/2015 08:00:00 PM,18.78,43,,0.0,,197,1.5,1.7,992.2,0
Foster Weather Station,09/13/2015 09:00:00 PM,18.39,45,,0.0,,190,1.7,2.4,992.6,1
Foster Weather Station,09/13/2015 10:00:00 PM,18.06,46,,0.0,,190,1.8,2.3,992.9,0
Foster Weather Station,09/13/2015 11:00:00 PM,17.39,49,,0.0,,220,1.3,1.4,992.9,0
Foster Weather Station,09/13/2015 12:00:00 AM,12.67,67,,0.0,,277,2.7,3.1,993.9,0
Foster Weather Station,09/14/2015 01:00:00 AM,16.0,54,,0.0,,206,2.8,3.0,993.2,0
Foster Weather Station,09/14/2015 02:00:00 AM,15.56,54,,0.0,,210,3.2,3.4,993.6,1
63rd Street Weather Station,09/28/2018 12:00:00 PM,16.9,61,0.0,0.0,260.3,332,2.6,4.1,997.7,255
Foster Weather Station,09/28/2018 12:00:00 PM,15.39,60,,0.0,,308,1.7,2.2,996.6,0
63rd Street Weather Station,09/28/2018 01:00:00 PM,16.5,62,0.0,0.0,260.3,305,1.4,3.2,997.5,156
Foster Weather Station,09/28/2018 01:00:00 PM,15.39,57,,0.0,,301,2.8,3.2,997.0,0
63rd Street Weather Station,09/28/2018 02:00:00 PM,16.2,64,0.0,0.0,260.3,284,1.1,3.8,997.9,75
Foster Weather Station,09/28/2018 02:00:00 PM,14.78,64,,0.0,,298,3.5,4.3,997.6,0
63rd Street Weather Station,09/28/2018 03:00:00 PM,15.5,61,0.0,0.0,260.3,320,2.6,6.5,998.9,31
Foster Weather Station,09/28/2018 03:00:00 PM,13.17,66,,0.1,,260,2.2,2.5,998.6,0
63rd Street Weather Station,09/28/2018 04:00:00 PM,12.8,66,0.0,0.4,260.7,326,2.2,5.1,1000.2,26
Foster Weather Station,09/28/2018 04:00:00 PM,11.28,71,,1.68,,308,4.7,5.3,1000.0,0
63rd Street Weather Station,09/28/2018 05:00:00 PM,11.3,79,0.6,1.9,262.6,315,2.4,5.3,1000.8,28
Foster Weather Station,09/28/2018 05:00:00 PM,10.28,73,,0.61,,265,2.6,4.1,999.7,0
63rd Street Weather Station,09/28/2018 07:00:00 PM,10.8,81,0.0,0.0,263.2,290,1.8,3.5,1001.0,3
Foster Weather Station,09/28/2018 07:00:00 PM,10.17,76,,0.05,,242,1.1,1.3,1000.0,0
63rd Street Weather Station,09/28/2018 08:00:00 PM,10.9,82,0.0,0.0,263.2,272,2.0,3.8,1001.7,3
Foster Weather Station,09/28/2018 08:00:00 PM,10.17,71,,0.0,,270,1.8,2.0,1000.7,0
63rd Street Weather Station,09/29/2018 01:00:00 AM,9.6,77,0.0,0.0,263.2,322,0.8,2.2,1003.5,3
Foster Weather Station,09/29/2018 01:00:00 AM,8.56,71,,0.0,,257,1.3,1.6,1002.4,0
63rd Street Weather Station,07/31/2019 09:00:00 AM,20.6,67,0.0,0.0,406.7,40,3.5,6.6,999.9,443
Foster Weather Station,07/31/2019 09:00:00 AM,20.06,58,,0.0,,54,3.0,3.8,999.7,0
Oak Street Weather Station,07/31/2019 09:00:00 AM,20.8,59,0.0,0.0,153.5,91,4.6,6.2,1001.0,485
63rd Street Weather Station,07/31/2019 10:00:00 AM,20.4,72,0.0,0.0,406.7,41,3.8,8.2,1000.3,590
Foster Weather Station,07/31/2019 10:00:00 AM,20.17,53,,0.0,,22,3.3,3.6,1000.0,0
Oak Street Weather Station,07/31/2019 10:00:00 AM,20.7,64,0.0,0.0,153.5,94,4.0,6.0,1001.4,633
63rd Street Weather Station,07/31/2019 11:00:00 AM,20.4,72,0.0,0.0,406.7,52,2.0,5.1,1000.8,705
Foster Weather Station,07/31/2019 11:00:00 AM,20.06,54,,0.0,,52,1.3,1.8,1000.3,0
Oak Street Weather Station,07/31/2019 11:00:00 AM,20.9,61,0.0,0.0,153.5,85,3.7,4.6,1001.7,752
63rd Street Weather Station,07/31/2019 12:00:00 PM,20.5,62,0.0,0.0,406.7,49,2.8,6.4,1000.7,785
Foster Weather Station,07/31/2019 12:00:00 PM,20.39,51,,0.0,,34,2.1,2.6,1000.0,0
Oak Street Weather Station,07/31/2019 12:00:00 PM,21.1,56,0.0,0.0,153.5,82,4.0,4.8,1001.6,821
63rd Street Weather Station,07/31/2019 01:00:00 PM,20.4,63,0.0,0.0,406.7,39,4.1,6.8,1000.4,809
Foster Weather Station,07/31/2019 01:00:00 PM,20.39,57,,0.0,,52,2.3,2.9,1000.0,0
Oak Street Weather Station,07/31/2019 01:00:00 PM,21.3,56,0.0,0.0,153.5,82,3.7,5.0,1001.4,848
63rd Street Weather Station,07/31/2019 02:00:00 PM,20.7,69,0.0,0.0,406.7,31,4.8,6.6,1000.4,787
Foster Weather Station,07/31/2019 02:00:00 PM,20.56,62,,0.0,,13,2.4,3.4,1000.0,0
63rd Street Weather Station,09/28/2018 09:00:00 PM,10.3,78,0.0,0.0,263.2,281,2.2,4.7,1002.1,3
Foster Weather Station,09/28/2018 09:00:00 PM,10.0,73,,0.0,,263,1.7,1.9,1001.4,0
63rd Street Weather Station,09/29/2018 02:00:00 AM,9.5,70,0.0,0.0,263.2,294,1.2,2.5,1003.8,3
Foster Weather Station,09/14/2015 03:00:00 AM,15.06,55,,0.0,,208,3.8,4.5,993.6,0
Foster Weather Station,09/14/2015 04:00:00 AM,14.78,57,,0.0,,199,2.1,2.6,993.6,0
Foster Weather Station,09/14/2015 05:00:00 AM,14.5,57,,0.0,,200,4.9,5.3,993.6,0
Foster Weather Station,09/14/2015 06:00:00 AM,14.67,57,,0.0,,212,3.3,3.7,993.9,1
Foster Weather Station,09/14/2015 07:00:00 AM,14.5,59,,0.0,,222,5.2,6.6,994.6,58
Foster Weather Station,09/14/2015 08:00:00 AM,15.06,60,,0.0,,206,6.0,6.8,994.9,78
Foster Weather Station,09/14/2015 09:00:00 AM,17.06,55,,0.0,,213,4.5,5.1,995.3,112
Foster Weather Station,09/14/2015 10:00:00 AM,19.39,49,,0.0,,203,1.7,2.9,995.6,497
Foster Weather Station,09/14/2015 11:00:00 AM,21.5,47,,0.0,,208,6.5,7.2,995.3,604
Foster Weather Station,09/14/2015 12:00:00 PM,23.67,41,,0.0,,195,5.2,5.7,994.9,669
Foster Weather Station,09/14/2015 01:00:00 PM,25.17,38,,0.0,,160,2.8,3.3,994.6,686
Foster Weather Station,09/14/2015 02:00:00 PM,26.39,36,,0.0,,206,6.1,7.1,994.2,648
Foster Weather Station,09/14/2015 03:00:00 PM,27.0,36,,0.0,,203,3.0,4.0,993.9,560
Foster Weather Station,09/14/2015 04:00:00 PM,27.28,36,,0.0,,178,2.2,2.6,993.9,427
Foster Weather Station,09/14/2015 05:00:00 PM,27.28,36,,0.0,,185,1.1,1.5,993.9,270
Foster Weather Station,09/14/2015 06:00:00 PM,27.06,36,,0.0,,196,4.9,5.7,993.6,115
Foster Weather Station,09/14/2015 07:00:00 PM,26.06,38,,0.0,,165,2.2,2.5,994.2,5
Foster Weather Station,09/14/2015 08:00:00 PM,25.0,42,,0.0,,218,3.0,3.6,994.6,0
Foster Weather Station,09/14/2015 09:00:00 PM,24.06,43,,0.0,,191,2.9,4.9,994.9,0
Foster Weather Station,09/14/2015 10:00:00 PM,23.28,44,,0.0,,221,6.3,6.8,995.3,1
Foster Weather Station,09/14/2015 11:00:00 PM,22.56,47,,0.0,,212,4.4,5.6,996.3,0
Foster Weather Station,09/14/2015 12:00:00 AM,16.89,50,,0.0,,222,2.3,2.8,993.2,0
Foster Weather Station,09/15/2015 01:00:00 AM,21.28,53,,0.0,,204,6.6,7.2,996.6,1
Foster Weather Station,09/15/2015 02:00:00 AM,20.78,56,,0.0,,201,7.4,8.2,997.0,0
Foster Weather Station,09/15/2015 03:00:00 AM,20.28,58,,0.0,,194,3.9,5.1,997.3,0
Foster Weather Station,09/15/2015 04:00:00 AM,19.89,59,,0.0,,203,4.3,4.6,998.0,0
Foster Weather Station,09/15/2015 05:00:00 AM,19.39,60,,0.0,,202,2.8,3.3,998.6,1
Foster Weather Station,09/15/2015 06:00:00 AM,18.78,62,,0.0,,238,3.4,3.8,999.0,0
Foster Weather Station,09/15/2015 07:00:00 AM,18.78,60,,0.0,,205,2.7,3.0,999.7,52
Foster Weather Station,09/15/2015 08:00:00 AM,19.5,57,,0.0,,206,2.9,3.0,1000.0,140
Foster Weather Station,09/15/2015 09:00:00 AM,20.67,53,,0.0,,204,3.5,3.6,1000.3,364
Foster Weather Station,09/15/2015 10:00:00 AM,22.17,49,,0.0,,194,3.6,4.1,1000.7,455
Foster Weather Station,09/15/2015 11:00:00 AM,23.28,46,,0.0,,198,1.2,1.9,1000.7,592
Foster Weather Station,09/15/2015 12:00:00 PM,25.0,42,,0.0,,210,3.2,3.6,1000.3,674
Foster Weather Station,09/15/2015 01:00:00 PM,25.89,39,,0.0,,201,3.3,3.5,1000.0,365
63rd Street Weather Station,09/28/2018 10:00:00 PM,10.1,82,0.0,0.0,263.2,281,1.3,2.1,1002.5,3
Foster Weather Station,09/28/2018 10:00:00 PM,9.5,77,,0.0,,265,1.7,2.0,1001.7,0
Foster Weather Station,09/29/2018 02:00:00 AM,8.17,69,,0.0,,261,2.0,2.3,1002.7,0
63rd Street Weather Station,09/29/2018 03:00:00 AM,9.0,73,0.0,0.0,263.2,285,1.6,3.4,1004.0,3
Foster Weather Station,09/29/2018 03:00:00 AM,7.67,70,,0.0,,293,1.5,2.1,1003.4,0
Oak Street Weather Station,07/31/2019 02:00:00 PM,21.0,63,0.0,0.0,153.5,79,3.3,4.7,1001.5,820
63rd Street Weather Station,05/31/2020 06:00:00 AM,12.6,66,0.0,0.0,231.4,79,7.2,9.2,1005.3,56
Oak Street Weather Station,05/31/2020 06:00:00 AM,12.3,65,0.0,0.0,13.4,78,3.9,5.1,1006.3,78
63rd Street Weather Station,05/31/2020 09:00:00 AM,12.2,61,0.0,0.0,231.4,81,5.3,6.5,1006.8,541
Oak Street Weather Station,05/31/2020 09:00:00 AM,12.3,57,0.0,0.0,13.4,98,2.0,3.0,1007.8,570
63rd Street Weather Station,05/31/2020 11:00:00 AM,12.7,58,0.0,0.0,231.4,89,2.8,4.0,1006.9,783
Oak Street Weather Station,05/31/2020 11:00:00 AM,12.2,53,0.0,0.0,13.4,106,1.4,2.1,1007.8,816
63rd Street Weather Station,05/31/2020 12:00:00 PM,12.5,61,0.0,0.0,231.4,67,2.2,5.2,1006.7,826
Oak Street Weather Station,05/31/2020 12:00:00 PM,12.4,55,0.0,0.0,13.4,102,1.2,1.8,1007.5,874
63rd Street Weather Station,05/31/2020 02:00:00 PM,12.6,60,0.0,0.0,231.4,62,1.8,3.6,1006.1,808
Oak Street Weather Station,05/31/2020 02:00:00 PM,12.4,53,0.0,0.0,13.4,80,2.0,3.4,1006.6,863
63rd Street Weather Station,05/31/2020 04:00:00 PM,13.7,60,0.0,0.0,231.4,87,3.2,5.1,1004.7,621
Oak Street Weather Station,05/31/2020 04:00:00 PM,13.0,57,0.0,0.0,13.4,108,1.6,2.5,1005.5,662
63rd Street Weather Station,05/31/2020 07:00:00 PM,14.6,61,0.0,0.0,231.4,122,2.0,3.3,1003.4,155
Oak Street Weather Station,05/31/2020 07:00:00 PM,13.9,59,0.0,0.0,13.4,118,1.8,3.6,1004.1,23
63rd Street Weather Station,05/31/2020 08:00:00 PM,14.6,62,0.0,0.0,231.4,135,1.3,2.6,1003.5,11
Oak Street Weather Station,05/31/2020 08:00:00 PM,14.3,58,0.0,0.0,13.4,111,1.4,2.6,1004.1,8
63rd Street Weather Station,05/31/2020 09:00:00 PM,15.1,64,0.0,0.0,231.4,150,0.7,1.6,1003.2,2
Oak Street Weather Station,05/31/2020 09:00:00 PM,14.9,57,0.0,0.0,13.4,98,0.9,2.6,1003.8,0
63rd Street Weather Station,05/31/2020 11:00:00 PM,15.8,59,0.0,0.0,231.4,164,2.0,4.1,1002.8,2
Oak Street Weather Station,05/31/2020 11:00:00 PM,16.1,48,0.0,0.0,13.4,114,1.3,2.5,1003.5,0
63rd Street Weather Station,06/01/2020 12:00:00 AM,15.4,52,0.0,0.0,231.4,188,1.6,2.7,1003.1,2
Oak Street Weather Station,06/01/2020 12:00:00 AM,16.2,53,0.0,0.0,13.4,115,0.9,1.1,1003.6,0
63rd Street Weather Station,06/01/2020 02:00:00 AM,14.3,52,0.0,0.0,231.4,190,2.3,3.9,1003.4,2
Oak Street Weather Station,06/01/2020 02:00:00 AM,16.4,44,0.0,0.0,13.4,72,1.0,2.4,1003.8,0
63rd Street Weather Station,06/01/2020 03:00:00 AM,14.3,51,0.0,0.0,231.4,190,1.9,2.5,1003.2,2
Oak Street Weather Station,06/01/2020 03:00:00 AM,16.4,40,0.0,0.0,13.4,102,0.5,1.8,1003.8,0
63rd Street Weather Station,06/01/2020 04:00:00 AM,13.5,53,0.0,0.0,231.4,209,1.4,2.4,1003.0,2
Oak Street Weather Station,06/01/2020 04:00:00 AM,16.8,36,0.0,0.0,13.4,318,1.1,3.6,1003.6,0
63rd Street Weather Station,09/28/2018 11:00:00 PM,9.7,85,0.0,0.0,263.2,294,1.2,2.6,1003.0,3
Foster Weather Station,09/28/2018 11:00:00 PM,9.17,75,,0.0,,279,3.0,3.3,1002.0,0
63rd Street Weather Station,09/29/2018 04:00:00 AM,8.8,74,0.0,0.0,263.2,294,1.5,3.0,1004.2,3
Foster Weather Station,09/29/2018 04:00:00 AM,7.39,70,,0.0,,268,2.4,2.6,1003.4,0
63rd Street Weather Station,09/29/2018 05:00:00 AM,8.2,76,0.0,0.0,263.2,288,1.3,3.5,1004.7,3
Foster Weather Station,09/29/2018 05:00:00 AM,7.17,71,,0.0,,279,3.3,4.6,1003.7,0
Foster Weather Station,09/15/2015 02:00:00 PM,27.0,37,,0.0,,206,2.0,2.9,999.7,660
Foster Weather Station,09/15/2015 03:00:00 PM,27.39,30,,0.0,,170,4.0,4.8,999.0,580
Foster Weather Station,09/15/2015 04:00:00 PM,28.06,29,,0.0,,187,3.4,4.1,999.0,446
Foster Weather Station,09/15/2015 05:00:00 PM,27.06,27,,0.0,,267,1.2,2.1,998.6,288
Foster Weather Station,09/15/2015 06:00:00 PM,26.78,29,,0.0,,142,6.3,7.2,998.6,71
Foster Weather Station,09/15/2015 07:00:00 PM,25.78,33,,0.0,,198,4.1,5.8,998.6,5
Foster Weather Station,09/15/2015 08:00:00 PM,24.5,36,,0.0,,176,3.2,3.6,999.0,1
Foster Weather Station,09/15/2015 09:00:00 PM,24.67,36,,0.0,,179,1.4,1.7,999.3,1
Foster Weather Station,09/15/2015 10:00:00 PM,24.17,37,,0.0,,161,1.3,1.6,1000.0,2
Foster Weather Station,09/15/2015 11:00:00 PM,23.0,40,,0.0,,162,1.9,2.1,1000.3,0
Foster Weather Station,09/15/2015 12:00:00 AM,21.89,50,,0.0,,208,6.7,7.9,996.3,0
Foster Weather Station,09/16/2015 01:00:00 AM,21.5,45,,0.0,,201,4.5,5.2,1000.3,0
Foster Weather Station,09/16/2015 02:00:00 AM,20.89,46,,0.0,,210,2.1,3.3,1000.0,0
Foster Weather Station,09/16/2015 03:00:00 AM,20.17,48,,0.0,,180,1.7,1.9,999.7,0
Foster Weather Station,09/16/2015 04:00:00 AM,20.17,48,,0.0,,200,2.1,2.4,999.3,0
Foster Weather Station,09/16/2015 05:00:00 AM,19.39,51,,0.0,,227,2.1,2.4,1000.0,0
Foster Weather Station,09/16/2015 06:00:00 AM,18.06,57,,0.0,,153,1.2,1.5,1000.7,0
Foster Weather Station,09/16/2015 07:00:00 AM,18.5,57,,0.0,,199,2.1,2.2,1000.7,39
Foster Weather Station,09/16/2015 08:00:00 AM,19.56,55,,0.0,,153,2.2,2.7,1000.7,187
Foster Weather Station,09/16/2015 09:00:00 AM,20.67,51,,0.0,,216,4.1,4.4,1000.7,346
Foster Weather Station,09/16/2015 10:00:00 AM,22.67,46,,0.0,,205,5.2,5.9,1000.7,492
Foster Weather Station,09/16/2015 11:00:00 AM,24.78,42,,0.0,,214,4.2,5.6,1000.7,604
Foster Weather Station,09/16/2015 12:00:00 PM,25.5,40,,0.0,,207,8.4,9.1,1000.0,669
Foster Weather Station,09/16/2015 01:00:00 PM,26.5,40,,0.0,,201,2.8,3.2,999.7,680
Foster Weather Station,09/16/2015 02:00:00 PM,27.28,36,,0.0,,203,4.2,4.4,998.6,644
Foster Weather Station,09/16/2015 03:00:00 PM,27.78,34,,0.0,,203,5.5,6.1,997.6,550
Foster Weather Station,09/16/2015 04:00:00 PM,27.78,33,,0.0,,169,4.7,5.3,997.0,422
Foster Weather Station,09/16/2015 05:00:00 PM,27.89,35,,0.0,,164,3.4,4.2,996.6,267
Foster Weather Station,09/16/2015 06:00:00 PM,27.5,34,,0.0,,187,2.7,3.7,996.3,34
Foster Weather Station,09/16/2015 07:00:00 PM,26.78,36,,0.0,,166,3.0,3.2,996.3,4
Foster Weather Station,09/16/2015 08:00:00 PM,25.78,39,,0.0,,152,1.4,2.0,996.3,1
Foster Weather Station,09/16/2015 09:00:00 PM,25.0,42,,0.0,,163,1.4,1.7,996.3,1
63rd Street Weather Station,09/29/2018 06:00:00 AM,8.0,76,0.0,0.0,263.2,284,1.2,3.1,1005.2,3
Foster Weather Station,09/29/2018 06:00:00 AM,7.06,68,,0.0,,291,3.0,3.4,1004.4,0
63rd Street Weather Station,07/31/2019 03:00:00 PM,20.7,74,0.0,0.0,406.7,21,5.0,8.0,1000.5,722
Foster Weather Station,07/31/2019 03:00:00 PM,20.78,61,,0.05,,12,2.0,2.3,1000.0,0
Oak Street Weather Station,07/31/2019 03:00:00 PM,21.4,65,0.0,0.0,153.5,66,3.5,4.2,1001.4,745
63rd Street Weather Station,07/31/2019 04:00:00 PM,20.8,74,0.0,0.0,406.7,29,5.3,7.4,1000.2,614
Foster Weather Station,07/31/2019 04:00:00 PM,20.78,60,,0.0,,31,2.9,3.6,999.7,0
Oak Street Weather Station,07/31/2019 04:00:00 PM,21.5,65,0.0,0.0,153.5,79,3.3,4.4,1001.1,624
63rd Street Weather Station,07/31/2019 05:00:00 PM,20.7,74,0.0,0.0,406.7,41,4.6,8.1,999.3,481
Foster Weather Station,07/31/2019 05:00:00 PM,20.5,62,,0.0,,40,2.5,2.9,999.0,0
Oak Street Weather Station,07/31/2019 05:00:00 PM,20.9,67,0.0,0.0,153.5,90,3.9,5.0,1000.4,43
63rd Street Weather Station,07/31/2019 07:00:00 PM,20.9,67,0.0,0.0,406.7,34,3.7,6.7,999.2,147
Foster Weather Station,07/31/2019 07:00:00 PM,20.56,54,,0.0,,44,1.4,1.6,998.6,0
Oak Street Weather Station,07/31/2019 07:00:00 PM,21.4,57,0.0,0.0,153.5,80,2.9,3.9,1000.0,147
63rd Street Weather Station,07/31/2019 08:00:00 PM,21.0,59,0.0,0.0,406.7,22,3.3,5.3,998.7,12
Foster Weather Station,07/31/2019 08:00:00 PM,20.28,51,,0.0,,21,1.3,2.0,998.3,0
Oak Street Weather Station,07/31/2019 08:00:00 PM,21.6,53,0.0,0.0,153.5,61,3.2,4.0,999.8,6
63rd Street Weather Station,07/31/2019 09:00:00 PM,21.2,58,0.0,0.0,406.7,24,3.7,6.3,999.4,1
Foster Weather Station,07/31/2019 09:00:00 PM,20.28,52,,0.0,,359,0.9,1.1,998.6,0
Oak Street Weather Station,07/31/2019 09:00:00 PM,21.7,51,0.0,0.0,153.5,59,3.4,4.7,1000.2,-3
63rd Street Weather Station,07/31/2019 11:00:00 PM,21.2,57,0.0,0.0,406.7,47,1.8,3.4,999.8,1
Foster Weather Station,07/31/2019 11:00:00 PM,20.56,52,,0.0,,7,2.1,2.3,999.0,0
Oak Street Weather Station,07/31/2019 11:00:00 PM,21.7,52,0.0,0.0,153.5,86,2.8,3.5,1000.6,-3
63rd Street Weather Station,08/01/2019 12:00:00 AM,21.0,64,0.0,0.0,406.7,64,2.4,4.6,999.5,1
Foster Weather Station,08/01/2019 12:00:00 AM,20.06,59,,0.0,,10,1.4,2.1,999.0,0
Oak Street Weather Station,08/01/2019 12:00:00 AM,21.3,59,0.0,0.0,153.5,83,2.2,3.1,1000.4,-3
